feedback_id,date,customer_segment,channel,product_area,category,sentiment,priority,requires_follow_up,feedback_text
FB-0001,2026-01-04,particulier,email,mobiele app,gebruiksgemak,positief,laag,false,"De app is overzichtelijk en ik kon mijn bestelling zonder problemen volgen."
FB-0002,2026-01-05,zakelijk,webchat,facturatie,betaling,negatief,hoog,true,"Mijn factuur klopt niet en ik wacht al twee weken op een correctie."
FB-0003,2026-01-06,particulier,telefoon,bezorging,levertijd,negatief,hoog,true,"De levering kwam drie dagen te laat en ik kreeg geen duidelijke update."
FB-0004,2026-01-07,student,mobiele app,account,inloggen,neutraal,middel,false,"Inloggen werkt meestal goed, maar de verificatiecode komt soms wat laat binnen."
FB-0005,2026-01-08,particulier,email,klantenservice,reactietijd,positief,laag,false,"De medewerker heeft mijn vraag vriendelijk en snel opgelost."
FB-0006,2026-01-09,zakelijk,portal,rapportage,functionaliteit,neutraal,middel,false,"Het dashboard bevat nuttige cijfers, maar ik mis een export naar Excel."
FB-0007,2026-01-10,particulier,webformulier,retouren,proces,negatief,middel,true,"Het retourproces is onduidelijk en ik kon het retourlabel niet vinden."
FB-0008,2026-01-11,senior,telefoon,klantenservice,communicatie,positief,laag,false,"Ik werd rustig geholpen en de uitleg was goed te volgen."
FB-0009,2026-01-12,particulier,mobiele app,zoeken,gebruiksgemak,negatief,middel,false,"De zoekfunctie geeft vaak irrelevante resultaten."
FB-0010,2026-01-13,zakelijk,email,contracten,administratie,neutraal,middel,true,"Wij willen graag duidelijker zien wanneer ons contract wordt verlengd."
FB-0011,2026-01-14,particulier,webchat,betaling,ideal,positief,laag,false,"Betalen met iDEAL ging snel en de bevestiging kwam direct binnen."
FB-0012,2026-01-15,student,mobiele app,notificaties,instellingen,negatief,laag,false,"Ik krijg te veel meldingen en kan niet precies kiezen welke ik wil ontvangen."
FB-0013,2026-01-16,particulier,email,productkwaliteit,kwaliteit,positief,laag,false,"Het product voelt stevig aan en voldoet aan de beschrijving."
FB-0014,2026-01-17,zakelijk,portal,gebruikersbeheer,autorisatie,negatief,hoog,true,"Het toevoegen van nieuwe gebruikers mislukt zonder duidelijke foutmelding."
FB-0015,2026-01-18,particulier,telefoon,bezorging,communicatie,neutraal,middel,false,"De bezorger was vriendelijk, maar het tijdvak was te ruim."
FB-0016,2026-01-19,senior,email,website,toegankelijkheid,negatief,middel,true,"De letters op de website zijn klein en sommige knoppen zijn moeilijk te vinden."
FB-0017,2026-01-20,particulier,mobiele app,account,profiel,positief,laag,false,"Mijn adres wijzigen ging makkelijk en werd meteen opgeslagen."
FB-0018,2026-01-21,zakelijk,webchat,integraties,api,neutraal,middel,true,"De API-documentatie is bruikbaar, maar voorbeelden voor foutafhandeling ontbreken."
FB-0019,2026-01-22,particulier,email,retouren,terugbetaling,negatief,hoog,true,"Ik heb mijn retour drie weken geleden verstuurd en nog geen geld teruggekregen."
FB-0020,2026-01-23,student,mobiele app,performance,snelheid,positief,laag,false,"Sinds de update opent de app veel sneller."
FB-0021,2026-01-24,particulier,webformulier,website,navigatie,neutraal,laag,false,"De website werkt prima, maar sommige categorieen staan op onverwachte plekken."
FB-0022,2026-01-25,zakelijk,telefoon,support,expertise,positief,middel,false,"De technische support dacht goed mee over onze inrichting."
