feedback_id,date,customer_segment,channel,product_area,category,sentiment,priority,requires_follow_up,feedback_text
FB-EN-0001,2026-01-04,consumer,email,mobile app,usability,positive,low,false,"The app is clear and I could track my order without any issues."
FB-EN-0002,2026-01-05,business,webchat,billing,payment,negative,high,true,"My invoice is incorrect and I have been waiting two weeks for a correction."
FB-EN-0003,2026-01-06,consumer,phone,delivery,delivery time,negative,high,true,"The delivery arrived three days late and I did not receive a clear update."
FB-EN-0004,2026-01-07,student,mobile app,account,login,neutral,medium,false,"Login usually works well, but the verification code sometimes arrives a bit late."
FB-EN-0005,2026-01-08,consumer,email,customer service,response time,positive,low,false,"The support agent solved my question quickly and was very friendly."
FB-EN-0006,2026-01-09,business,portal,reporting,functionality,neutral,medium,false,"The dashboard has useful numbers, but I miss an export to Excel."
FB-EN-0007,2026-01-10,consumer,web form,returns,process,negative,medium,true,"The return process is unclear and I could not find the return label."
FB-EN-0008,2026-01-11,senior,phone,customer service,communication,positive,low,false,"I was helped calmly and the explanation was easy to follow."
FB-EN-0009,2026-01-12,consumer,mobile app,search,usability,negative,medium,false,"The search function often shows irrelevant results."
FB-EN-0010,2026-01-13,business,email,contracts,administration,neutral,medium,true,"We would like to see more clearly when our contract will be renewed."
FB-EN-0011,2026-01-14,consumer,webchat,payment,card payment,positive,low,false,"The payment went through quickly and the confirmation arrived immediately."
FB-EN-0012,2026-01-15,student,mobile app,notifications,settings,negative,low,false,"I receive too many notifications and cannot choose exactly which ones I want."
FB-EN-0013,2026-01-16,consumer,email,product quality,quality,positive,low,false,"The product feels sturdy and matches the description."
FB-EN-0014,2026-01-17,business,portal,user management,authorization,negative,high,true,"Adding new users fails without a clear error message."
FB-EN-0015,2026-01-18,consumer,phone,delivery,communication,neutral,medium,false,"The courier was friendly, but the delivery window was too broad."
FB-EN-0016,2026-01-19,senior,email,website,accessibility,negative,medium,true,"The text on the website is small and some buttons are hard to find."
FB-EN-0017,2026-01-20,consumer,mobile app,account,profile,positive,low,false,"Changing my address was easy and it was saved immediately."
FB-EN-0018,2026-01-21,business,webchat,integrations,api,neutral,medium,true,"The API documentation is usable, but examples for error handling are missing."
FB-EN-0019,2026-01-22,consumer,email,returns,refund,negative,high,true,"I returned my order three weeks ago and still have not received my refund."
FB-EN-0020,2026-01-23,student,mobile app,performance,speed,positive,low,false,"Since the update, the app opens much faster."
FB-EN-0021,2026-01-24,consumer,web form,website,navigation,neutral,low,false,"The website works fine, but some categories are in unexpected places."
FB-EN-0022,2026-01-25,business,phone,support,expertise,positive,medium,false,"Technical support thought along with us and understood our setup."
FB-EN-0023,2026-01-26,consumer,email,delivery,damage,negative,high,true,"My package arrived damaged and the box was open."
FB-EN-0024,2026-01-27,senior,phone,payment,automatic debit,neutral,medium,false,"I would like a simple confirmation after an automatic debit."
FB-EN-0025,2026-01-28,consumer,mobile app,shopping cart,bug,negative,high,true,"My shopping cart was emptied after reopening the app."
FB-EN-0026,2026-01-29,business,portal,billing,overview,positive,low,false,"The new invoice overview is clear and saves us time."
FB-EN-0027,2026-01-30,student,webchat,discount,promotions,neutral,low,false,"The student discount is nice, but the conditions could be clearer."
FB-EN-0028,2026-01-31,consumer,email,customer service,resolution,negative,medium,true,"I received a standard reply that did not solve my issue."
FB-EN-0029,2026-02-01,consumer,mobile app,search,filters,positive,low,false,"The new filters make it easier to quickly find the right product."
FB-EN-0030,2026-02-02,business,email,reporting,export,negative,medium,true,"The CSV export contains duplicate rows and sometimes misses column names."
FB-EN-0031,2026-02-03,consumer,phone,account,password,neutral,low,false,"Resetting my password eventually worked, but the steps were a bit cumbersome."
FB-EN-0032,2026-02-04,senior,web form,website,accessibility,positive,low,false,"The new help page with larger buttons is an improvement."
FB-EN-0033,2026-02-05,consumer,email,product information,clarity,negative,medium,false,"The product photos are nice, but the dimensions are not clearly listed."
FB-EN-0034,2026-02-06,business,portal,security,two-factor,positive,medium,false,"Two-factor authentication gives us more confidence when managing accounts."
FB-EN-0035,2026-02-07,student,mobile app,notifications,stability,negative,low,false,"Push notifications sometimes arrive twice."
FB-EN-0036,2026-02-08,consumer,webchat,delivery,appointment,positive,low,false,"Changing my delivery appointment was surprisingly easy."
FB-EN-0037,2026-02-09,business,email,contracts,price,negative,high,true,"The price increase was not communicated clearly in advance."
FB-EN-0038,2026-02-10,consumer,mobile app,performance,crash,negative,high,true,"The app crashes every time I open my order history."
FB-EN-0039,2026-02-11,senior,phone,customer service,patience,positive,low,false,"The employee took the time and stayed patient when I did not understand something."
FB-EN-0040,2026-02-12,consumer,email,returns,status,neutral,medium,false,"I would like interim status updates during return processing."
